proverb,meaning,used,index
veel haken en ogen,veel problemen,,98
iemand een rad voor de ogen draaien,iemand iets wijsmaken / iemand op gemene wijze bedriegen,,99
aan zijn eerste leugen niet gebarsten en voor zijn tweede niet opgehangen zijn,een grote leugenaar zijn,,100
de bodem inslaan,vernietigen (vb: de hoop de bodem inslaan),,101
geen licht zonder schaduw,tussen al het goeie zit altijd ook wel iets minder goeds,,102
zich uit de naad werken,"veel werken, zijn uiterste best doen",,103
elk schot is geen eendvogel.,niet iedere poging of alles wat je doet is succesvol,,104
lot uit de loterij,onvoorspelbaar,,105
een garnaal heeft ook een hoofd,tegen brutale kinderen,,106
als de maan vol is schijnt ze overal.,"als iemand gelukkig is, kan iedereen dat zien.",,107
de buikriem aanhalen,spaarzamer worden,,108
psalmen zingen,schuren met baksteen en zand,,109
zijn stempel drukken op iets,invloed uitoefenen op,,110
gezouten scherts,bijtende scherts,,111
mij een zorg,wat kan mij het schelen!,,112
met man en macht iets doen,iedereen werkt hard mee,,113
op z'n dooie akkertje.,"op zijn gemak, heel rustig, heel langzaam.",,114
ergens een hele kluif aan hebben,er een heel probleem aan hebben,,115
botten blijven platvis,als je dom bent dan blijf je dat,,116
"na wat gepimpel, is de geest wat simpel.",na wat te hebben gedronken ben je meestal niet meer helder van geest,,117
geen wolkje aan de lucht,niets aan de hand - alles is prima in orde,,118
Hij is ridder te voet geworden,zijn rijkdom is verdwenen,,119
Wie eten wil moet de kok niet beledigen.,Hou je meerdere te vriend.,,120
aan de vruchten kent men de boom,aan de nakomelingen kent men de ouders,,121
op poten staan,in een brief nergens omheen praten,,122
in iemands schoenen staan,het lot van iemand anders ondergaan,,123
met de kop door de muur willen,het onmogelijke willen,,124
zijn buik op de leest slaan,te veel eten,,125
de mis aan de muur plakken,niet naar de mis gaan (verzuimen),,126
"die de minste tanden hebben, kauwen het meest",de domste mensen voeren gewoonlijk het hoogste woord,,127
de vlag uitsteken,ergens erg blij mee zijn,,128
met een dood kalf is het goed sollen,men kan gerust wat proberen met iets dat al verloren is,,129
het mes snijdt aan twee kanten,"het levert dubbel voordeel op (NL.) Er zijn niet alleen voordelen aan verbonden, je kan eender wat vanuit verschillende en zelfs tegengestelde standpunten bekijken (BE).",,130
de prins op het witte paard,de man van je dromen,,131
een vos verliest wel zijn haren maar niet zijn streken,mensen veranderen zelden echt,,132
een koekje van eigen deeg,iets geven (of krijgen) wat oorspronkelijk bedacht is door degene die het krijgt (of geeft),,133
vast in zijn schoenen staan,erg zeker zijn,,134
een kerel als Kas,een stevig gebouwd kerel,,135
de draad kwijt zijn,de loop van het verhaal niet meer kunnen volgen,,136
in de olie zijn,dronken zijn,,137
hij heeft een vinger in de pap,hij heeft invloed,,138
weten hoe de vork in de steel zit,precies weten wat er gebeurd is,,139
een Pietje precies.,iemand die de dingen altijd heel precies wil doen.,,140
volgens de regels der kunst,zoals het hoort,,141
je kan het dak op.,jouw wens wordt niet gehonoreerd.,,142
zijn huid zelf ter markt brengen,zichzelf verdedigen,,143
iets op je buik kunnen schrijven,er vanuit kunnen gaan dat hetgeen dat men wilde niet door zal gaan,,144
ieder moet zijn eigen kruis dragen,ieder moet zijn eigen tegenslagen verwerken,,145
het woord voeren,spreken (als afgevaardigde door anderen),,146
het pleit winnen,de zaak winnen,,147
iets (met krijt) aan de balk schrijven,een gebeurtenis is zo belangrijk/bijzonder dat men het niet wil vergeten,,148
mosterd na de maaltijd,een oplossing die te laat komt,,149
de klad zit er in,het gaat niet goed,,150
"één uur van onbedachtzaamheid, kan maken dat men jaren schreit",één moment van onvoorzichtigheid kan verschrikkelijke gevolgen hebben,,151
in ere houden,"goed onderhouden, niet laten voorbijgaan",,152
heb het hart eens,"heb de moed om dat te doen. (Eigenlijk: als je dat doet, zal ik je ongenadig straffen)",,153
goed voor de schroothoop,totaal verloren,,154
Een deksel op de kop hebben,De verantwoordelijkheid voor iets nemen,,155
kant noch wal raken,totale onzin zijn,,156
iedere heilige komt zijn kaarsje toe,iedere medewerker moet delen in de eer,,157
je moet geen 'hei' roepen voordat je de brug over bent,vreugde over een goede afloop is pas toepasselijk als er niets meer verkeerd kan gaan,,158
iemand het vel over de oren halen,iemand te veel laten betalen,,159
met de hand op het hart,eerlijk en gemeend,,160
zich op glad ijs wagen/begeven,ergens over gaan praten waar die weinig van af weet,,161
rechter in eigen zaak zijn,zijn eigen zaak kunnen beoordelen,,162
zijn eindje wel kunnen halen,genoeg (geld) hebben tot aan zijn dood,,163
de hond de jas voorhouden,iemand valse hoop geven op iets dat hij graag wil hebben,,164
je het apelazarus werken,heel hard werken,,165
"kleine oorzaken, grote gevolgen",kleine dingen kunnen grote gevolgen hebben,,166
het vege lijf redden,"vluchten, er snel vandoor gaan",,167
iemand geen haarbreed in de weg leggen,iemand op geen enkele manier ergens mee hinderen of tegenhouden,,168
appelen/knollen voor citroenen verkopen,"oplichten, bedriegen",,169
in de lucht zitten,algemeen voorkomen,,170
in de echt verbinden,"huwen, trouwen",,171
men moet een paard de rug niet stukrijden,men moet niet altijd te veel eisen,,172
de kaap te boven zijn,het probleem overwonnen hebben,,173
"vuile boter, vuile vis",Zonder goed gereedschap bereik je geen goede resultaten,,174
de kool en de geit sparen,een oplossing vinden waar beide partijen tevreden mee kunnen zijn,,175
iemand uit de tent lokken,het voor elkaar krijgen dat iemand ergens een uitspraak over doet,,176
hij stond te slapen,hij lette niet op,,177
iemand ongesuikerd zeggen waar het op staat,iemand ongegeneerd de waarheid zeggen,,178
zijn bekomst ergens van hebben,ergens genoeg van hebben,,179
van de wal in de sloot belanden,vanuit een slechte situatie terechtkomen in een situatie die nóg slechter is,,180
leer om leer zijn,op gelijke manier straffen als de maner waarop iemand in de fout gegaan is,,181
iemand het vierkante gat wijzen,"iemand de deur wijzen, wegsturen",,182
kinderen die zwijgen zullen ook nooit wat krijgen,aanvulling op `Kinderen die vragen worden overgeslagen.`,,183
een papieren zoldertje,een dunne ijskorst,,184
op de pit leunen,zich laten voorzeggen (door toneelspelers),,185
De ooievaar nakijken,Tijd verdoen,,186
op het hart binden,met de grootste nadruk zeggen,,187
van zijn hart geen moordkuil maken,zijn gevoelens niet opkroppen / vrijuit zeggen wat je niet bevalt / eerlijk zeggen over hoe er over iets gedacht wordt,,188
corpus delicti,het voorwerp van de misdaad,,189
zijn schaapjes op het droge hebben,de zaken op orde hebben of voldoende hebben om niet meer te hoeven werken,,190
zo komt het luie zweet eruit,gezegd van iemand die hard werkt,,191
iemand beest maken,kaartspel : zorgen dat iemand geen enkele slag haalt,,192
"Avondrood, mooi weer aan boord, morgenrood, regen in de sloot","Eerste deel is 60% waar, tweede deel is onbetrouwbaar (KNMI)",,193
het einde van het liedje,het einde van iets goeds,,194
naar de heilige graal streven,iets willen bereiken wat niet te bereiken is,,195
ergens niet van terug hebben,er geen antwoord op weten,,196
zij kunnen elkaar een hand geven,zij bevinden zich in een vergelijkbare situatie,,197
paardenvlees gegeten hebben,erg wild (woelig) zijn,,198
het hoofd stoten,ergens onprettig tegen aan lopen,,199
elk wat wils zijn,voor iedereen is er wat te vinden,,200
de schapen scheren,gemakkelijk grote winsten maken,,201
op het verkeerde paard wedden,een verkeerde inschatting maken,,202
zich iets op de hals halen,zich met een probleem laten opzadelen,,203
met iemand afrekenen,iemand betalen; iemand iets betaald zetten,,204
"men noemt geen koe bont, of er is een vlekje aan",als er allerlei vervelende dingen worden verteld is er vast wel iets van waar,,205
ik vond het niet zo bie,ik vond het niet zo geweldig,,206
een nagel aan iemands doodkist,een groot verdriet of iemand die een groot verdriet veroorzaakt,,207
schip met zure appelen,wolk die regen en storm voorspelt,,208
veel in zijn mars hebben,veel aanleg hebben en veel weten,,209
trillen als een juffershondje,van angst trillen,,210
er zonder kleerscheuren afkomen,helemaal niets mankeren na een ongeluk,,211
gelijke monniken gelijke kappen,gelijke mensen verdienen/krijgen een gelijke behandeling,,212
over de knie leggen,een pak slaag geven,,213
'm knijpen,erg zenuwachtig zijn,,214
de eigen boontjes doppen,de eigen zaken regelen zonder hulp van anderen,,215
een bittere pil slikken,grote moeite ergens mee hebben,,216
zijn schip voert te grote zeilen,te veel geld uit geven,,217
"als katten muizen, mauwen ze niet","wanneer je aan het eten bent, praat je niet zoveel",,218
De tafel de nodige eer bewijzen.,Smakelijk gaan eten.,,219
op de baan lopen,tippelen,,220
op zijn hoede (of qui-vive) zijn,voorzichtig zijn omdat het niet helemaal vertrouwd wordt,,221
om een luchtje gaan,dood gaan,,222
de grote kaars gaat uit,de zon gaat onder,,223
het kind met het badwater weggooien,samen met het slechte ook het goede wegdoen,,224
het is beter een andermans hemd dan geen,wat men niet heeft kan men desnoods nog altijd lenen,,225
ad infinitum,tot in het oneindige,,226
willen weten welk vlees men in de kuip heeft,eerst willen weten hoe iemand is,,227
een beentje lichten,doen struikelen (letterlijk of figuurlijk),,228
de hand aan zichzelf slaan,zelfmoord plegen,,229
man met de hamer tegenkomen,totaal uitgeput geraken,,230
iemand het zwijgen opleggen,er met niemand over mogen praten en niemand iets mogen vertellen,,231
in de soep lopen,volledig mislukken (van een plan),,232
de handschoen opnemen,het gevecht aangaan,,233
in hart en nieren,vanuit volle overtuiging,,234
voor de schenen/voeten werpen,ermee confronteren,,235
van de nood een deugd maken,zich naar de omstandigheden schikken,,236
iemands doopceel lichten,zeer uitgebreid vertellen/uitzoeken wie iemand is en wat die in het verleden allemaal gedaan heeft,,237
grote parade en klein garnizoen,een grote vertoning maar niet veel zaaks,,238
een bliek (spiering) uitgooien om een snoek te vangen,met zo min mogelijk kosten proberen maximale winst te behalen,,239
varkensvlees onder de armen hebben,erg lui zijn,,240
in het schot vallen,precies tijdens het startschot vertrekken,,241
Als de ene blinde de ander leidt vallen ze beiden in de gracht,Wanneer onbekwamen andere onbekwamen adviseren gaat het fout,,242
de vruchten van iets plukken,het voordeel van iets hebben,,243
Het paard achter de wagen spannen. ,De zaak verkeerd aanpakken,,244
de aanhouder wint,je wint als je maar lang genoeg blijft proberen,,245
tel uit je winst,"kijken en doen waar je het meeste voordeel bij hebt, `zie je wel!`",,246
er is geen zalf aan te strijken,ergens niets aan kunnen doen of geen enkel zinvol advies mogelijk voor iemand,,247
tekst en uitleg geven,verantwoording afleggen,,248
onder de (groene) zoden stoppen,iemand begraven,,249
stommetje spelen,niets willen zeggen,,250
iemand uit het zadel lichten,"iemand zijn positie doen verliezen, iemand ontslaan",,251
opgestaan is plaats vergaan,als je even wegloopt kan iemand anders op je stoel gaan zitten,,252
kaf dorsen,nutteloos werk verrichten,,253
uit de boot vallen,een eigen gang gaan,,254
appels met peren vergelijken,twee totaal verschillende dingen vergelijken,,255
in de broei zitten,in verlegenheid zitten,,256
een ijzer in het vuur hebben,een plan hebben dat nog onbekend is voor de buitenwereld,,257
op de keien komen,ontslagen worden,,258
ergens op gebrand zijn,iets heel erg fijn vinden en er naar streven,,259
het hart zinkt hem in de schoenen,hij verliest alle moed,,260
vaart achter iets zetten,iets snel (doen) uitvoeren,,261
kruis of munt gooien,ervoor loten,,262
daar komt de zwarte kat in,daar komt ruzie van,,263
de vinger op de wond leggen,precies aangeven waar het probleem zit,,264
het gras is altijd groener bij de buren,er is altijd iets te vinden om jaloers op te zijn,,265
"op is de koek, en weg zijn de dubbeltjes","het maximaal haalbare is bereikt, meer zit er niet in",,266
"wie de naam heeft, krijgt de daad","wie bekend staat als misdadiger, krijgt de schuld",,267
aan iemands lippen hangen,aandachtig luisteren,,268
de wind waait uit die hoek,een mening van iemand uit een bepaalde groep/partij,,269
de duvelstoejager,iemand die overal goed in is,,270
er de brui aan geven,ergens mee ophouden,,271
wie slaapt vangt niks,je moet wel opletten,,272
de sluier aannemen,in een klooster gaan,,273
op zijn stokpaard rijden,altijd over hetzelfde praten of klagen,,274
Over het paard tillen. ,"Iemand te veel prijzen, zodat hij verwaand wordt",,275
goede naam is beter dan goede olie,een goede reputatie is beter dan veel geld,,276
als een vis op het droge,iemand die zijn draai niet kan vinden of daar niet thuis hoort,,277
zijn hebben en houwen verliezen,alles wat iemand bezit kwijtraken,,278
een tip van de sluier oplichten,een klein stukje van het onbekende onthullen,,279
daar ben ik mooi klaar mee.,nu heb ik een probleem.,,280
voor het vaderland wegnemen,zomaar wegnemen,,281
ergens een slag naar slaan,raden,,282
"denken moet je aan een paard overlaten, dat heeft een groter hoofd.",niet te veel denken maar doen.,,283
hoog spel spelen,"gevaarlijk spel spelen, veel inzetten",,284
op zee blijven.,op zee vergaan/omkomen.,,285
Het zijn niet al ridders die sporen dragen,Je kunt niet alleen aan iemands uiterlijk afleiden of hij ergens geschikt voor is,,286
eten uit de korf zonder zorg,geen zorgen meer hebben over zijn levensonderhoud,,287
vele handen maken licht werk,als een karwei samen wordt opgepakt is het snel en gemakkelijk gedaan,,288
iemand onder de duim houden,"iemand in je macht hebben, iemand de baas zijn",,289
er gaat een belletje rinkelen,ik begin het te begrijpen,,290
een loer draaien,een poets bakken,,291
de sigaar zijn,het slachtoffer zijn,,292
geen kou aan de lucht,geen gevaar,,293
een ongelovige Thomas zijn,nooit iets geloven,,294
een tang van een wijf. / Een oude tang,"een heks, feeks. / Een oude lastige vrouw",,295
het beste paard van stal halen,het beste wat men heeft bovenhalen,,296
"met de maat waarmee gij meet, zal u weder gemeten worden",op de manier zoals je een ander behandelt zal je ook zelf behandeld worden,,297
dat zal hem geen windeieren hebben gelegd,daar zal hij wel veel geld mee verdiend hebben,,298
belofte is een hemd der dwazen,een nietszeggende belofte kan toch tijdelijk gelukkig maken,,299
op tui houden,aan het lijntje houden,,300
het moet zo tussen neus en lippen gebeuren,het moet bijna ongemerkt gebeuren,,301
gods wegen zijn ondoorgrondelijk,er gebeuren soms rare dingen,,302
een lange neus maken,"tong uitsteken, iemand iets inpeperen (Jaloers maken)",,303
`m piepen,er stilletjes vandoor gaan,,304
geen a voor een b kennen,erg dom zijn,,305
niets in de melk te brokken hebben,niets te zeggen hebben,,306
er is tuk aan de hengel,hij heeft beet (krijgt zijn zin),,307
een kat in de zak kopen,iets kopen zonder het gezien te hebben - bedrogen worden,,308
op de proppen helpen,iemand steunen en verder helpen,,309
er is geen land met hem te bezeilen,je kan met hem niets aanvangen,,310
"hoeren en dieven, met geld zijn zij mijn gelieven",met geld krijg je vrienden,,311
met lange tanden eten,met tegenzin eten,,312
met zijn neus in de boter vallen,(Onverwacht) goed terechtkomen.,,313
goede wijn behoeft geen krans.,iets wat goed is hoeft niet geprezen worden.,,314
achter de veren zitten,opjagen,,315
de vogel is gevlogen,de dader is was al weg (of gevlucht),,316
het touw wat vieren,het iets minder streng aanpakken,,317
salvo honore,met behoud van zijn eer,,318
tegen iemand aanlopen,iemand toevallig tegenkomen,,319
aan het licht komen,bekend worden van ongunstige dingen,,320
alle hoop de bodem in (laten) slaan,door iets geen enkele hoop meer (laten) hebben,,321
op goede voet staan met iemand,goed kunnen opschieten,,322
het is niet om de knikkers maar om het recht van het spel,"het is niet voor persoonlijk voordeel, maar omwille van de rechtvaardigheid",,323
mans genoeg zijn,het wel alleen afkunnen,,324
een tong als een scheermes,gezegd van iemand die venijnig uithaalt met woorden,,325
op de bon gaan,bekeurd worden,,326
"schelen zijn de mooiste niet, maar ze worden wel het meest aangekeken",als relativerend antwoord wanneer men zegt dat ze het niets kan schelen,,327
zijn pen in alsem dopen,erg negatief of kwetsend schrijven,,328
een zoon van zijn vader zijn,het karakter van zijn vader hebben,,329
iemand de hielen likken,erg onderdanig of nederig tegen iemand doen,,330
zijn handen overspelen,te veel eisen en daardoor niet slagen,,331
"vroeger, toen kraaiden de hanen nog. Tegenwoordig gapen ze alleen nog maar, zei de dove","veranderingen in een situatie zijn vaak niet feitelijk, maar een subjectieve beleving",,332
leven uit de korf zonder zorg,onbekommerd leven,,333
een speld in een voer hooi zoeken,een bijna onmogelijke opdracht uitvoeren,,334
terugverlangen naar de vleespotten van Egypte,naar de goede tijden terugverlangen,,335
als paddestoelen uit de grond schieten,snel en in grote massa tevoorschijn komen,,336
je bent de bovenste beste,je bent een goeie,,337
te kort komen,niet genoeg (kunnen) doen,,338
door schade en schande wordt men wijs.,een mens leert het beste van z'n fouten,,339
over veel schijven lopen,veel mensen die ergens zich mee bemoeien,,340
met een schone lei beginnen.,"opnieuw mogen beginnen, zonder dat misstappen uit het verleden nog zichtbaar zijn.",,341
het zwoerd/zwoord achter de oren hebben,doof zijn,,342
iemand de les lezen,duidelijk zeggen dat iemand iets verkeerds gedaan heeft,,343
platvis eet je met de ramen open en rondvis met de ramen dicht,m.a.w. platvis is een zomervis en rondvis is in de winter op z`n best,,344
voor geen geld of goede woorden (tot iets bereid zijn),"niet bereid zijn tot iets, wat iemand ook ervoor biedt, en welke argumenten iemand ook naar voren brengt",,345
tegen de draad ingaan,het er niet er mee eens zijn en er tegen in gaan,,346
balsem in de wonde gieten,het leed verzachten,,347
een kruiwagen hebben,geholpen worden,,348
dat mag met een krijtje aan de balk,dat is een ongewone gebeurtenis,,349
loop naar de duivel/maan/pomp,ga weg!,,350
hij snakt ernaar als een vis naar water,ergens hevig naar verlangen,,351
in de rats zitten,bang zijn of angst hebben / in de problemen zitten,,352
onder valse vlag varen,zich voordoen als een ander of zich anders voordoen,,353
geen poot aan de grond kunnen krijgen,geen schijn van kans blijken te hebben,,354
het niet verzien hebben op,niet goed kunnen verdragen,,355
ik kijk wel uit,"dat doe ik niet, daar ben ik te voorzichtig voor",,356
bij de tekst blijven,bij het oorspronkelijke plan blijven,,357
tot moes slaan,iets helemaal kapot slaan,,358
door het hennepen venster kijken,opgehangen worden,,359
bot vangen,"ernaast pakken, het niet krijgen",,360
Eten wat de pot schaft.,Eten wat op tafel komt.,,361
achter de rug,in het geniep,,362
de kroon op het werk zetten,het werk prachtig voltooien,,363
er is geen land met hem te bezeilen,"je kan met hem niets aanvangen, omdat hij niet wil meewerken",,364
Hij vangt vissen met zijn handen,Hij profiteert van andermans werk,,365
in de bonen zijn,verward zijn,,366
ratione officii,ambtshalve,,367
er de kat insteken,ermee ophouden,,368
pas uit de dop komen,maar pas ergens aan deelnemen,,369
altijd op hetzelfde aambeeld hameren/slaan,steeds weer op hetzelfde onderwerp terugkomen,,370
hij kijkt als Jonas in de walvis,hij zit benauwd te kijken,,371
iemand voor het naadgaren zetten,iemand voor de schulden laten opdraaien,,372
het veld ruimen,vertrekken om plaats te maken voor een ander,,373
de kat van de bakker heeft het gedaan,niemand is de schuldige,,374
je moet geen goed geld achter slecht geld aangooien,je moet geen geld besteden aan een zaak die niet meer in stand kan worden gehouden,,375
iets van de achterwacht vernemen,iets vernemen na veel omwegen,,376
geen spek voor de bek,ongeschikt - iets wat men niet aankan,,377
in den vreemde,in het buitenland,,378
aan elkaar gewaagd zijn,beiden vrijwel evenwaardig zijn,,379
op dezelfde leest geschoeid zijn,erg op elkaar lijken,,380
van december tot maart is de schol de pan niet waard,platvis moet je in de zomer eten,,381
"aan een balk, die uit het bos gehaald wordt, moet veel gehakt worden, voor hij in het huis past.","in een religieuze groep, vereniging, etc,: je kunt leden uit een gemeenschap winnen, maar hun moet wel geleerd worden zich aan te passen.",,382
zijn kaars aan twee kanten branden,zijn krachten of mogelijkheden al te vroeg verspillen,,383
loop heen,ga weg!,,384
dat smaakt naar meer,meer van dat!,,385
zijn neus in andermans zaken steken.,zich bemoeien met zaken die je niet aangaan.,,386
een boer op klompen,een lomperd,,387
kind noch kraai hebben.,"geen nazaten of andere familieleden hebben, alleen rekening moeten houden met zichzelf.",,388
ergens een potje kunnen breken,ergens graag gezien zijn,,389
gras gaat niet harder groeien als je eraan trekt.,sommige dingen hebben tijd nodig.,,390
Van een mooie / knappe tafel kun je niet eten. / Van een mooi bord kun je niet eten.,Knap van uiterlijk heeft ook wel eens nadelen.,,391
er zijn vele wegen die naar Rome leiden,er zijn meerdere manieren om iets te doen,,392
twee linkerhanden hebben,"onhandig zijn, werk altijd laten mislukken",,393
een Homerisch gelach ,"harde en gemene lach om het ongeluk, de mislukking of de handicap van tegenstrevers.",,394
zo gaan er geen twaalf in een dozijn,het is iets buitengewoons,,395
het zijn niet allen monniken die kappen dragen,niet het uiterlijk vertoon bewijst iemands vaardigheid,,396
een gevoelige snaar raken,"iets ligt erg gevoelig bij iemand, belangstelling hebben voor een bepaald onderwerp en iemand die dan aandacht heeft ervoor",,397
dat kan Bruin(tje) niet trekken,dat kunnen we ons niet veroorloven (afgeleid van een populaire naam voor trekpaarden),,398
gouden bergen beloven,heel veel (onmogelijks) beloven,,399
het licht in de ogen niet gunnen,"niets gunnen, er niets van kunnen verdragen",,400
een straatje zonder eind,"een eindeloos proces, iets wat nooit ophoudt",,401
van zijn stokje gaan,flauwvallen,,402
nog niet jarig zijn,iets ongunstigs te verwachten hebben,,403
onder het Caudijnse juk moeten doorgaan,vernederd worden,,404
een muur van onbegrip.,een hardnekkig gebrek aan begrip.,,405
zijn mond voorbij praten,meer zeggen dan dat er gezegd mag worden en/of het verklappen van een geheim,,406
god noch gebod vrezen,zich nergens iets van aantrekken - een misdadig leven leiden,,407
zijn tabernakelen bouwen,zich vestigen met het doel lang te blijven,,408
Aken en Keulen zijn niet op een dag gebouwd,niet alles is onmiddellijk klaar - even geduld,,409
een doodgeboren kindje,"waardeloos, zonder toekomst",,410
zo veeg als een luis op een kam,in groot gevaar verkerend,,411
