index,generated_proverb,used
747,zijn hand op de tafel zetten,
761,de grote klok in de toren blazen,
766,de deur van het huis van de duivel niet dichtdoen,
775,het is niet eens een varken.,
784,de hand van een ezel is een grooter paard dan een klein paard.,
785,de dood in de steek laten gaan,
786,met de dood op het kerkhof staan,
787,zijn eigen ogen laten zien,
791,het is de duivel uit het raam gooien,
796,als een man zijn handen wassen.,
800,een mens in de kerk is in de kerk,
802,een paard in het zadel krijgen,
806,op een dag iets met de fiets maken,
807,de voet in de schoenen zetten,
811,de deur van het huis dichtslaan,
812,als een kat van de molen komen,
813,"het is een schande van een varken, dat zijn eigen vlees eet.",
824,aan de rand van het ijs komen,
825,"als het een ei van een ei is, is het ei niet gaar.",
835,een lange tijd geen kip in de maag halen,
836,de oude vrouwtjes in het zand zitten,
838,een mens als een paard in de wei staan,
845,de man met de snor moet de baard hebben.,
851,ergens een grote beer aan de stok leggen,
857,in de pot spelen,
867,een beetje te drinken is een heel slechte zaak.,
868,het is geen water in het water,
879,het is niet de moeite waard om de wereld van de mens te maken.,
894,de grootste deel van de wereld heeft een hoge pet.,
898,een grote bokkenkooi,
907,de zon op de zee zetten,
927,een klein kind op zijn pootjes houden,
928,een luis in het hooi komen,
937,het is een beetje vreemd als je je niet ziet zitten,
938,als het een goede hond heeft zijn staart op zijn pootjes te kauwen,
939,als een mens in de ban van de duivel,
954,de voet op de rem staan,
961,een pilletje in de keel krijgen,
967,de lering van een paard met een bijl in het oog is niet een paard.,
973,de luipaard van de vos is niet een hond,
976,"de grote vis die een paling eet, is het vis niet in de haak hangen",
978,als een haas in de modder,
982,het is goed als de koe de kaas moet maken,
985,in het zand staan,
989,de doodskist voor de deur gooien,
993,de dood van de dood van de dood is het beste als een haas op het paard vallen,
1000,de oude vrouw van de bakker in de oven hebben,
1013,een van de grootste kroezen van de wereld is de hoogste steen niet goed,
1018,de hand op de keel houden,
1021,de oude man zijn hoed uithangen,
1022,het hoofd van de ezel,
1023,de oude man met de bijl in de boom slaan,
1024,een klein mannetje op zijn buik slaan,
1026,de kop in de pan gooien,
1030,ergens zijn een kat en een geit,
1032,"de duivel is een duivel, geen duivel is een duivel.",
1036,zijn hart is geen goed mens.,
1037,een klein stukje op de tong leggen,
1041,de langen nek breken,
1043,de dood van een koe in een mand gooien,
1044,een grote bek en een klein hoofd krijgen,
1045,de eerste keer op een paard zitten,
1046,ergens een vogel kunnen vangen,
1054,de kat op het gras spelen,
1057,de zon aan de wolken zetten,
1061,met de vingers van de naald,
1074,het is een goed idee als de man niet in de kerk zit.,
1076,het zijn er geen spreeuwen,
1079,de grote bal aan het vuur gooien,
1084,zijn ogen de waarheid hebben,
1085,het is een lapje voor de ogen,
1087,het is goed dat de zon niet boven de horizon brandt.,
1088,het moet er een likje van zijn kop hebben,
1096,zijn naam is als een hond aan het woord.,
1098,met een grote kop koffie kunnen zitten.,
1103,de mens is een vis zonder vis.,
1105,het is een beetje een koe op de grond gooien,
1110,een man als een ezel in de wei,
1114,de duivel in de steek laten zitten,
1115,de kat niet van het schrikken brengen,
1121,met de oren naar de hemel,
1125,een grote bof op de kop hebben,
1126,als een paaltje op een boom vallen,
1127,de zon niet zien,
1128,de lukraak in het bos zijn,
1131,aan de muur liggen.,
1132,de luis van de haas heeft zijn hoed,
1133,de grote beer zijn eigen brood in de hand zetten,
1138,het is een goed idee om de oude mensen in de steek laten,
1147,de beste vriend van de duivel is geen mens,
1151,als de kat het gras niet gras gaat groeien. zal de kat het gras in zijn hok hebben.,
1157,een kleine meid op de buik leggen,
1158,als de zon niet brandt is het geen zon.,
1164,een lange dag in de week zijn,
1167,een kleine vis vangen,
1183,op een goede dag zijn geen goede daad.,
1195,zijn ogen hebben een grote bril.,
1196,"het is een mooie man, geen ander dan een vrouw.",
1198,de eerste keer in mijn leven niet meer op de fiets staan,
1204,de deur opensnijden,
1206,"als de zon schijnt en de wind waait, is het geen licht.",
1213,het is niet een klein beestje dat met een kop naar de zee komt.,
1225,een klein eindje in de boom zitten,
1234,ergens een paard kunnen zijn als hij een paard is.,
1235,een grote hoed op zijn hoofd dragen,
1236,de eerste man uit de hemel zien,
1237,ergens een grote vogel als een aal in het water hebben,
1241,een groot ei leggen,
1242,ergens op het randje gaan,
1243,de deur van het venster dichtslaan,
1249,de hand op zijn rug trekken,
1253,het was geen kouwe kikker in de modder.,
1254,een goed woordje voor je neus zetten,
1255,het is een soort mug om de duivel,
1290,een goed doel op het hoofd slaan,
1303,de wind waait over de kop.,
1306,als een kat uit het ei komen,
1310,ergens een kind op de wereld werpen,
1320,de kat op het ijs zetten,
1344,de wind heeft een lange tijd geen oren,
1351,de kop van een ezel zijn,
1363,de wereld op zijn kop slaan,
1364,op een klein schip kunnen vliegen,
1366,het is geen lapje gras,
1368,een kind in een ei leggen,
1372,een klein mannetje met een kop vol tanden,
1376,de wind niet aan zijn laars leggen,
1387,de dood op de plank leggen,
1393,"als een mens niet is, zal de mens niet zijn.",
1395,een van de vele soorten in de boom zijn,
1398,als een aap in de porseleinkast kruipen,
1403,een vogel in het water werpen,
1405,de man van de straat is in de kerk,
1406,op de juiste toon zetten,
1409,"de grootste, meest grote en meest machtige man van de wereld zijn dan geen vogel op de troon.",
1413,met zijn tong tussen zijn tanden hangen,
1430,als een kind in de nesten houden,
1433,met de hand op het hart slaan,
1438,zijn naam is als een molensteen,
1440,een grote vis in een vis vangen,
1457,het vuur is niet altijd in de oven gaar,
1463,een lontje op de rug hebben,
1465,de wereld van de mens is geen weg naar de aarde,
1466,de duivel op de hak nemen,
1467,"als een hond een paard kan zijn, dan is hij de hond van de wolf.",
1470,de hele wereld heeft geen naam en de naam der naam der wereld kent men,
1471,het is een rare vogel... een vogel is een haas...,
1473,op een dag zijn tanden zien,
1486,het is niet de bedoeling van de mensen om iets te eten te eten,
1496,het gaat goed met je hoofd als je het ziet.,
1499,de dood van de koning is een eer in de mond.,
1517,de oude heer de waarheid hebben,
1524,het vuur op de schenen gaan slaan,
1532,de ogen van een hond kunnen zien.,
1537,een goede nachtrust leiden,
1538,de eerste keer in de week is het beste.,
1540,"het is goed, als het maar uit komt.",
1541,een klein vogeltje in een kooi.,
1552,zijn hoofd op de muur hangen,
1581,een goede man in een kous hebben,
1583,uit de wolken komen,
1589,de lering in de lucht krijgen,
1590,de grote klok van de duivel,
1594,in de mond houden,
1596,"met de fiets, zonder de fiets, geen fiets.",
1597,een kind met een mes in zijn keel steken,
1599,een goed mens zijn is een slechte mens zijn,
1600,een kat op de tong bijten,
1603,de hand op de borst leggen,
1604,de doodkist laten vallen,
1610,ergens een bal van het ene stuk in het andere stuk steken,
1616,het is niet voor niets dat de hond niet op de grond komt.,
1617,het is een beetje vet op de maag zitten,
1624,de man van het woord komt niet,
1626,ergens een schip in zee gooien,
1627,de voet van de beer hebben,
1628,ergens een paard in de weg staan,
1629,in de schoenen steken,
1631,de kop in de boom gooien,
1633,het is geen schande om de kinderen van de wijs te hebben,
1639,op een grote schaal een boterham eten,
1651,als een hond in de sloot staan,
1653,"de dood van een varken is niet dood, als het in de vrieskou is.",
1657,de wind waait niet op de kop van een paard,
1670,als de koe in de wei wordt geboren is het niet te eten.,
1675,een kleine kammetje is een goede boterham in de oven.,
1676,"het paard in de steek laten, als hij de deur niet open doet, is de man in de steek laten.",
1681,het is niet goed dat je het zo lang kunt,
1683,een goed woord voor een man.,
1801,de tak krakt de krullen van de kak,
1802,als een bakker bij het koken,
1803,dat is nooit op tijd als een varkenspest,
1804,een kat op de been slaan,
1805,het oog van de meester is groter dan de mantel der dwazen,
1806,een oud wijf heeft een gouden hartje,
1807,een paard met de poten van een garnaal,
1808,het hoefijzer gewonnen hebben bij de kruidenier,
1809,met de veren aan de elleboog ver kunnen komen,
1810,het paard van de duivel is in de val gevallen,
1811,een groot deel van de wereld in zijn eigen schuld,
1812,de voorgeklopte room uitkloppen,
